variable,group,value
repsim,ridge-lambda100-r2#5folds_cv,-1.0
repsim,ridge-lambda100-r2#no_cv,-1.0
repsim,rsa-correlation-corr,-1.0
rsatoolbox,cca-angular,-1.0
rsatoolbox,cca-angular-score,-1.0
rsatoolbox,cka,-1.0
rsatoolbox,cka-angular,-1.0
rsatoolbox,cka-angular-score,-1.0
rsatoolbox,ensd,-1.0
rsatoolbox,linreg,-1.0
rsatoolbox,linreg-angular,-1.0
rsatoolbox,linreg-angular-cv,-1.0
rsatoolbox,linreg-cv,-1.0
rsatoolbox,linreg-r2#5folds_cv,-1.0
rsatoolbox,linreg-r2#no_cv,-1.0
rsatoolbox,nbs,-1.0
rsatoolbox,nbs-angular,-1.0
rsatoolbox,nbs-angular-score,-1.0
rsatoolbox,nbs-squared,-1.0
rsatoolbox,procrustes-angular,-1.0
rsatoolbox,procrustes-angular#5folds_cv,-1.0
rsatoolbox,procrustes-angular-cv,-1.0
rsatoolbox,procrustes-angular-cv-score,-1.0
rsatoolbox,procrustes-angular-score,-1.0
rsatoolbox,procrustes-angular-score#5folds_cv,-1.0
rsatoolbox,procrustes-euclidean,-1.0
rsatoolbox,procrustes-euclidean-score,-1.0
rsatoolbox,ridge-lambda1-r2#5folds_cv,-1.0
rsatoolbox,ridge-lambda1-r2#no_cv,-1.0
rsatoolbox,ridge-lambda10-r2#5folds_cv,-1.0
rsatoolbox,ridge-lambda10-r2#no_cv,-1.0
rsatoolbox,ridge-lambda100-r2#5folds_cv,-1.0
rsatoolbox,ridge-lambda100-r2#no_cv,-1.0
rsatoolbox,rsa-correlation-corr,0.20128556689230798
sim_metric,cca-angular,2.1760371282653068e-16
sim_metric,cca-angular-score,1.5765166949677222e-16
sim_metric,cka,7.494005416219807e-17
sim_metric,cka-angular,8.43769498715119e-17
sim_metric,cka-angular-score,5.329070518200751e-17
sim_metric,ensd,-1.0
sim_metric,linreg,-1.0
sim_metric,linreg-angular,-1.0
sim_metric,linreg-angular-cv,-1.0
sim_metric,linreg-cv,-1.0
sim_metric,linreg-r2#5folds_cv,-1.0
sim_metric,linreg-r2#no_cv,-1.0
sim_metric,nbs,3.1752378504279476e-16
sim_metric,nbs-angular,-1.0
sim_metric,nbs-angular-score,-1.0
sim_metric,nbs-squared,-1.0
sim_metric,procrustes-angular,2.486899575160351e-16
sim_metric,procrustes-angular#5folds_cv,-1.0
sim_metric,procrustes-angular-cv,-1.0
sim_metric,procrustes-angular-cv-score,-1.0
sim_metric,procrustes-angular-score,1.354472090042691e-16
sim_metric,procrustes-angular-score#5folds_cv,-1.0
sim_metric,procrustes-euclidean,7.105427357601002e-15
sim_metric,procrustes-euclidean-score,-1.0
sim_metric,ridge-lambda1-r2#5folds_cv,-1.0
sim_metric,ridge-lambda1-r2#no_cv,-1.0
sim_metric,ridge-lambda10-r2#5folds_cv,-1.0
sim_metric,ridge-lambda10-r2#no_cv,-1.0
sim_metric,ridge-lambda100-r2#5folds_cv,-1.0
sim_metric,ridge-lambda100-r2#no_cv,-1.0
sim_metric,rsa-correlation-corr,-1.0
svcca,cca-angular,0.067068390481175
svcca,cca-angular-score,0.04133284694244886
svcca,cka,-1.0
svcca,cka-angular,-1.0
svcca,cka-angular-score,-1.0
svcca,ensd,-1.0
svcca,linreg,-1.0
svcca,linreg-angular,-1.0
svcca,linreg-angular-cv,-1.0
svcca,linreg-cv,-1.0
svcca,linreg-r2#5folds_cv,-1.0
svcca,linreg-r2#no_cv,-1.0
svcca,nbs,-1.0
svcca,nbs-angular,-1.0
svcca,nbs-angular-score,-1.0
svcca,nbs-squared,-1.0
svcca,procrustes-angular,-1.0
svcca,procrustes-angular#5folds_cv,-1.0
svcca,procrustes-angular-cv,-1.0
svcca,procrustes-angular-cv-score,-1.0
svcca,procrustes-angular-score,-1.0
svcca,procrustes-angular-score#5folds_cv,-1.0
svcca,procrustes-euclidean,-1.0
svcca,procrustes-euclidean-score,-1.0
svcca,ridge-lambda1-r2#5folds_cv,-1.0
svcca,ridge-lambda1-r2#no_cv,-1.0
svcca,ridge-lambda10-r2#5folds_cv,-1.0
svcca,ridge-lambda10-r2#no_cv,-1.0
svcca,ridge-lambda100-r2#5folds_cv,-1.0
svcca,ridge-lambda100-r2#no_cv,-1.0
svcca,rsa-correlation-corr,-1.0
yuanli2333,cca-angular,-1.0
yuanli2333,cca-angular-score,-1.0
yuanli2333,cka,6.38378239159465e-17
yuanli2333,cka-angular,8.881784197001253e-17
yuanli2333,cka-angular-score,3.9968028886505634e-17
yuanli2333,ensd,-1.0
yuanli2333,linreg,-1.0
yuanli2333,linreg-angular,-1.0
yuanli2333,linreg-angular-cv,-1.0
yuanli2333,linreg-cv,-1.0
yuanli2333,linreg-r2#5folds_cv,-1.0
yuanli2333,linreg-r2#no_cv,-1.0
yuanli2333,nbs,-1.0
yuanli2333,nbs-angular,-1.0
yuanli2333,nbs-angular-score,-1.0
yuanli2333,nbs-squared,-1.0
yuanli2333,procrustes-angular,-1.0
yuanli2333,procrustes-angular#5folds_cv,-1.0
yuanli2333,procrustes-angular-cv,-1.0
yuanli2333,procrustes-angular-cv-score,-1.0
yuanli2333,procrustes-angular-score,-1.0
yuanli2333,procrustes-angular-score#5folds_cv,-1.0
yuanli2333,procrustes-euclidean,-1.0
yuanli2333,procrustes-euclidean-score,-1.0
yuanli2333,ridge-lambda1-r2#5folds_cv,-1.0
yuanli2333,ridge-lambda1-r2#no_cv,-1.0
yuanli2333,ridge-lambda10-r2#5folds_cv,-1.0
yuanli2333,ridge-lambda10-r2#no_cv,-1.0
yuanli2333,ridge-lambda100-r2#5folds_cv,-1.0
yuanli2333,ridge-lambda100-r2#no_cv,-1.0
yuanli2333,rsa-correlation-corr,-1.0
